"","-*","Input file number","Language(s) of the main text","Other Language(s) in the main text","Full Title (native language)","Author's name (transliterated)","Dates of the author","Translator","Dates of the translator","Editor","Dates of the editor","Year of this edition-heze barlasan tuhai","Format of the book","Cover type","Condition of book","Readability of book","Volume","Page numbers","Size of printed area","Size of pages","Text Format","Publisher","Copyright owner","Location of printing-","Colophon","Uuree"
"3667","M0058338-018","W1NLM425-I1N1M425","Tibetan","N","*, ,DPAL DUR KHROD BDAG PO'I BSKANG BSHAGS DANG 'BREL PA'I RKUN MA CHINGS PA'I THABS MATRA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","8A-9B","32x6.5","39x8.5","MS",NA,NA,NA,NA,NA,"Uuree"
"3668","M0058338-019","W1NLM425-I1N1M425","Tibetan","N","NO TITLE [@001B NA NO GU RU BHYA: 'DIR DPAL LDAN DUR KHROD BDAG PO'I GLO BUR LAS BCOL GYI GTOR MA BYA BAR 'DOD PAS,]",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1B-4A","33x6","39x8.5","MS",NA,NA,NA,NA,NA,"Uuree"
"3669","M0058338-020","W1NLM425-I1N1M425","Tibetan","N","*, ,DPAL GSANG BA'I BDAG PO 'KHOR LO CHEN PO'I DBANG GI BLA MA BRGYUD PA'I GSOL 'DEBS ZHES BYA BA BZHUGS SO, ,","BLO BZANG BSKAL BZANG RGYA MTSO,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-3A","33x6","39x8.5","MS",NA,NA,NA,NA,"@003A *, ,(DE LTAR DPAL BSANG BA'I BDAG PO 'KHOR LO'I CHEN PO DBANG GI BLA MA BRGYUD PA'I GSOL 'DEBS 'DI NI RGYAL DBANG THAMS CAD MKHYEN PA BLO BZANG BSKAL BZANG RGYA MTSO'I DPAL BZANG PO'I MDZAD PA JI LTA BA BZHIN LA RANG GIS THOB RGYUN LTAR GYI DBANG BRGYUD BSTUN PAR 'BYIN 'JUG CUNG ZAD BGYIS PA'O, ,)","Uuree"
"3670","M0058339-001","W1NLM426-I1N1M426","Tibetan","N","*, ,ME LHA GOS DKAR MO'I MCHOD TSUL MI MTHUN KUN 'JOMS ZHES BYA BA BZHUGS SO, ,","BYAMS PA TSE DBANG,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-12A","28x6","34.5x8.5","MS",NA,NA,NA,NA,"@011B CES ME LHA GOS DKAR MO'I MCHOD TSUL MI MTHUN KUN 'JOMS ZHES BYAS PA 'DI NI, BKA' 'GYUR BA AER TE NI MER GIN CHOS RJE BLO BZANG TSUL KHRIMS KYI STZOL BA'I ME LHA GOS DKAR MO'I MCHOD TSUL GZHIR BYAS NAS MED DU MI RUNG BA'I KHA BSKANG BSNAN TE, ^SBRANG BU'I THA SHAL BA BYAMS PA TSE DBANG GIS BLA MA GONG MA'I MAN NGAG GI BTUS TE BSGRIGS PA'I YI GE PA NI BLO BZANG MGON POS BGYIS PA'O, ,","Uuree"
"3671","M0058339-002","W1NLM426-I1N1M426","Tibetan","N","*, ,RAB GNAS BKRA SHIS SNYE MA'I LHAN THABS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-22A","24x6","30x7.8","MS",NA,NA,NA,NA,NA,"Uuree"
"3672","M0058339-003","W1NLM426-I1N1M426","Tibetan","N","*, ,RJE BTZUN 'PHAGS MA SGROL MA'I MTSAN  BRGYA RTZA BRGYAD PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-7B","24x6","30x7.8","MS",NA,NA,NA,NA,NA,"Uuree"
"3673","M0058339-004","W1NLM426-I1N1M426","Tibetan","N","NO TITLE [@001A *, ,AA MRi TAS BSANG, SVA BH'A WAS STONG PAR SBYANGS, STONG PA'I NGANG LAS, ]",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-5A","24x6","30x7.8","MS",NA,NA,NA,NA,NA,"Uuree"
"3674","M0058339-005","W1NLM426-I1N1M426","Tibetan","N","*, ,RJE BTZUN SGROL MA'I GSER SKYEMS BZHUGS SO, ,","BLO BZANG CHOS 'PHEL,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-2A","24x6","30x7.8","MS",NA,NA,NA,NA,"@002A *, ,(CES SGROL MA NYER GCIG LA GTOR 'BUL 'DOD PA'I RE BSKONG ZHES BYA BA 'DI NI DBU MDZAD DKON MCHOG GIS BSKUL BA'I NGO MCHOG PAR, RDO RJE 'CHANG CHEN PO DZA YA PAndI TA BLO BZANG 'JIGS MED RDO RJE DPAL BZANG PO'I SLOB MA'I THA SHAL BA NOM CHE CHOS RJE STOBS PO CHE BLO BZANG CHOS 'PHEL GYIS 'PHRAL DU BRIS PA'O, ,MANGGA LAM, ,DGE LEGS 'PHEL GYUR CIG , ,,)","Uuree"
"3675","M0058339-006","W1NLM426-I1N1M426","Tibetan","N","*, ,SGROL MA GSER SKYEMS BZHUGS SO, ,","SU MA TI BADZRA,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","2A-2B","24x6","30x7.8","MS",NA,NA,NA,NA,"@002B (SGROL MA GSER SKYEMS 'DI NI BTZUN SU MA TI BADZRAS SBYAR BA'O, ,)","Uuree"
"3676","M0058339-007","W1NLM426-I1N1M426","Tibetan","N","*, ,RJE BTZUN MA 'PHAGS MA SGROL MA'I SANGS MCHOD DGE LEGS CHAR 'BEBS BZHUGS SO, ,","SU MA TI MING CAN,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-4B","24x6","30x7.8","MS",NA,NA,NA,NA,"@004A *, ,(CES PA 'DI SGROL MA BSANGS MCHOD DGE LEGS CHAR 'BEBS ZHES BYA BA'I NOR BZANG 'DI NI AER TE NI THA'I CI BSKUL BA LTAR SU MA TI MING CAN GYIS SBYAR BA'O,, ,,DGE LEGS 'PHEL, ,)","Uuree"
"3677","M0058339-008","W1NLM426-I1N1M426","Tibetan","N","*, ,'PHAGS PA BKRA SHIS BRTZEGS PA'I SGO NAS GA-YANG 'GUGS PA'I CHO GA BKRA SHIS KUN 'BYUNG CES BYA BA BZHUGS SO, ,","SHA SA NA DHI BAm,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-11B","29x6","35x8","MS",NA,NA,NA,NA,"@011A *, ,(DE LTAR CHO GA TSUL BZHIN TU BYED NA MDO NYID LAS GSUNGS PA'I GNAS SKABS MTHAR THUG GI PHAN YON RNAMS 'BYUNG BAR GOD BRTZOM LHAG BSAM DGE BA'I SLOB DPON GUNG PI LIG THU ZHES PAS BSKUL BA'I NGOR, BTZUN GZUGS SHA SA NA DHI BAm ZHES BYA BA'I SBYAR BA'I DGE BAS BSTAN PA DANG 'GRO BA MANG PA LA PHAN THOGS PAR GYUR CIG , ,,CHO GA DE YANG MDO RANG NYID LAS, 'DI JI LTAR LAS CHO GA DANG LDAN PA BGYI, DE'I CHO GA @011B NI JI LTAR BGYI, ZHES PAS GA-YANG 'GUGS PA'I CHO GA DE 'DRA ZHIG BYANG RUNG  NGAM SNYAM MOD 'ON KYANG DPYAD PAR BYA'O, ,BKRA SHIS PA DANG DGE LEGS 'PHEL, ,)","Uuree"
"3678","M0058339-009","W1NLM426-I1N1M426","Tibetan","N","*, ,RJE BTZUN 'PHAGS MA SGROL MA'I MAndAL BZHI PA'I SGRUBS THABS CHO GA DANG BCAS PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-13A","26x6.5","31x8","MS",NA,NA,NA,NA,NA,"Uuree"
"3679","M0058339-010","W1NLM426-I1N1M426","Tibetan","N","*, ,RJE BTZUN SGROL MA DKA' SGOS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-4B","26x6.5","31x8","MS",NA,NA,NA,NA,NA,"Uuree"
"3680","M0058339-011","W1NLM426-I1N1M426","Tibetan","N","*, ,RGYAL CHEN RNAM SRAS GTOR MA CHO GA TI shthI BADZRA ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-7B","26x6.5","31x8","MS",NA,NA,NA,NA,NA,"Uuree"
"3681","M0058339-012","W1NLM426-I1N1M426","Tibetan","N","*, ,TSE THAR 'BUL TSUL MU TIG DO SHAL CES BYA BA BZHUGS SO, ,","BLO BZANG BSTAN DAR,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-5B","27x6.5","33x8","MS",NA,NA,NA,NA,"@005B (CES LHA CHEN 'JIGS MED DPA' PO DA YAN TIR KHI ZHES GRAGS PA'I ZHING SKYONG CHEN POR TSE THAR 'BUL TSUL MU TIG DO SHAL CES BYA BA 'DI NI, LHA CHEN DE NYID LA TSE THAR PHUL SKABS, RANG GI 'DOD MOS DANG BSTAN TE, PAD DKAR 'CHANG SOGS SKYES CHEN DU MA'I ZHABS RDUL SPYI BOR LEN PA RAB 'BYAMS BLO BZANG BSTAN DAR GYIS, DGE MTSAN BCU LDAN DE NYID BZHUGS KHANG PHO BRANG CHEN PO'I NYE CHAR SUG BRIS SU BGYIS PA'O, ,SARBA MANGGA LAm, ,)","Uuree"
"3682","M0058339-013","W1NLM426-I1N1M426","Tibetan","N","*, ,DA YANG TE'I RI KHI'I DGONGS BZOD BSTOD SMON BZHUGS SO, ,","BLO BZANG CHOS GRAGS,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","5B-6B","27x6.5","33x8","MS",NA,NA,NA,NA,"@006B (CES DGONGS BZOD BSTOD SMON 'DI NI MKHAN MING 'DZIN PA BLO BZANG CHOS GRAGS KYIS RANG GI MOS PAS SUG BRIS SO, ),DGE'O, ,MANGGA LAm, ,","Uuree"
"3683","M0058339-014","W1NLM426-I1N1M426","Tibetan","N","*, ,RTA GA-YANG 'GUGS CHO GA ZHES BYA BA BZHUGS SO, ,","SU MA TI KARMA MING CAN,",NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","V:N","1A-6A","26x7","29x8","MS",NA,NA,NA,NA,"@006A *, ,(CES RTA GA-YANG 'GUGS CHO GA 'DI NI YUL MI RNAMS RTA'I GA-YANG SHIN TU NYAMS NA NYAM THAG PA LA, BYAMS PA'I SEMS KUN NAS BLANGS STE THA SHAL SKYON PA'I SPYOD YUL NA SU MA TI KARMA MING CAN GYIS, SLOB DPON CHEN PO PADMA 'BYUNG GNAS KYI GA-YANG KHUG SOGS LA GZHI BYAS NAS 'PHRAL DU BRIS PA'O, ,'DI LA NOR 'KHUL BYUNG NAS MKHAS PA RNAMS LA CHAGS SO, ,BDAG LA SGRIG LA MI 'BYUNG BYUNG BAR MDZAD DU GSOL, ,LEGS CHA CUNG ZAD YOD NAS DGE BAS 'GRO KUN DBUL BA'I SDUG BSNGAL TANG BRAL NAS MYUR DU BDAG PA'I ZHING KHAMS SU SKYE BA'I RGYUR GYUR CIG , ,,'DI 'BRIS DGE BAS SANGS RGYAS MYUR THOB SHOG , ,,DGE BAS LEGS LDAN RGYAS PAR SHOG , ,,BKRA SHIS PAR GYUR CIG , ,,SARBA MANGGA LAM, ,BKRA SHIS LEGS SO RTA RGON MA MANG PA'O, ,)","Uuree"
"3684","M0058339-015","W1NLM426-I1N1M426","Tibetan","N","*, ,'PHAGS PA BGEGS SEL BA'I GZUNGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","V:N","1A-2B","26x6","30x8","MS",NA,NA,NA,NA,NA,"Uuree"
"3685","M0058339-016","W1NLM426-I1N1M426","Tibetan","N","*, ,GZHI BDAG KLU RNAMS LA BSANGS MCHOD KHRUS BYED PA'I CHO GA KUN PHAN NYI 'OD CES BYA BA BZHUGS SO, ,","KshA BADZRA,",NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","V:N","1A-7A","23.5x7","30x8","MS",NA,NA,NA,NA,"@007A *, , KHRUS CHOG 'DI NI GTZANG RVAS CHU PO'I NE'U GSING GI GA-YON DU GNAS PA LA KshA BADZRAS KARMA P'A LA ZHUS BGYIS SO, ,BKRA SHIS DGE LEGS 'PHEL BAR GYUR CIG , ,,","Uuree"
"3686","M0058339-017","W1NLM426-I1N1M426","Tibetan","N","*, ,RGYAL PO GSER GYI LAG PA'I SMON LAM DANG 'BREL PA'I MAR ME JI LTAR 'BUL BA'I TSUL BDE LEGS 'BYUNG GNAS BZHUGS SO, ,","BSHAD SGRUB MING CAN,",NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","V:N","1A-11A","29.5x7","34x8.5","MS",NA,NA,NA,NA,"@011A *, ,(CES PA 'DI NI DAD DANG RNAM DPYOD LDAN PA'I TSE GZUNGS SOGS LA MAR GNANG BA 'GA' ZHIG GIS BSKUL BA'I NGOR SH'AKYA'I DGE SLONG BSHAD SGRUB MING CAN GYIS SBYAR BA STE, PHYIS SNA LAM SNGAGS 'CHANG RNAM RGYAL ZHES BYA BAS DAD PAS PAR DU BSGRUBS PA'I TSE BAR GYI YI GE PA NI THO LO'I SNGAGS 'CHANG TSE DBANG MGON MKHON PO'O, ,MANGGA LAm ,,)","Uuree"
"3687","M0058339-018","W1NLM426-I1N1M426","Tibetan","N","NO TITLE [@001B AOm A'A P'A CHING ZHANGSHI nA NA DVA KI KI H'Um, ,AOM SV'A BHA WAS STONGS PAR SBYANGS STONG PA'I DANG LAS AE MA HO BRHUm MA LAS RIN PO CHE'I SNOD YANGS SHING RGYA CHE BA RNAMS KYI NANG DU AOm A'A;]","BLO BZANG DPAL MGON,",NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","V:N","1A-1B","28.5x6","31.5x7","MS",NA,NA,NA,NA,"@001B (CES PA 'DI NI, DZA YA PAndI TA BLO BZANG SNYAN GRAGS DGE LEGS RNAM RGYAL DPAL BZANG PO GRVA PA GRVA CHEN RNAMS KYI THA SHAL, BLO BZANG DPAL MGON ZHES BYA BA SUG BRIS PA'O, ,SARBA MANGGA LAm, ,)","Uuree"
"3688","M0058339-019","W1NLM426-I1N1M426","Tibetan","N","*, ,RAB GNAS MDOR BSDUS LAG TU BYA TSUL BZHUGS SO, ,","NGAG DBANG BLO BZANG CHOS LDAN,",NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","V:N","1A-13A","25.5x6","30x8","MS",NA,NA,NA,NA,"@012B (CES SKU GSUNG THUGS RTEN LA RAB TU GNAS PA MDOR BSDUS BYA @013A *, ,TSUL LAG TU BLANG BDE BAR BKOD PA 'DI NI YONGS KYI DGE BA'I BSHES GNYEN CHEN PO CHAS BDE THANG SPRUL SKU SLOB MA TSUL KHRIMS RNAM RGYAL GYIS SNGA MA NAS YANG YANG BSKUL ZHING, GZHAN YANG DON GNYER CAN DU MAS BSKUL BA DANG NYE CHAR GNAM BSKOS PA'I TSANGS PA 'JAM DBYANGS GONG MA CHEN PO'I NANG 'KHYER GYI BLA MA 'GA' ZHIG GIS BSKUL BA LTAR BAN RGAN SO SNYOM LAS PA, NGAG DBANG BLO BZANG CHOS LDAN GYIS BOD CHOS LHA KHANG DU GRAGS PAR RJE BTZUN TZONG KHA PA CHEN PO'I GSUNG 'GROS LTAR 'DUL 'DZIN GRAGS PA RGYAN MTSAN GYIS MDZAD PA'I RAB GNAS BSDUS PA'I SDOM TSIG DANG MTHUN PAR SBYAR BA'I YI GE PA NI SMON LAM RIN CHEN NO, ,MANGGA LAm, ,BHA LANTU, , DGE'O, ,BKRA SHIS PAR GYUR CIG , ,,","Uuree"
"3689","M0058339-020","W1NLM426-I1N1M426","Tibetan","N","*, ,RJE BTZUN THAMS CAD MKHYEN PA'I GSUNG 'BUM THOR BU LAS RAB TU GNAS PA'I CHO GA BRKA SHIS KYI SNYE MA ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Medium","V:N","1A-34A","25.5x6","30x8","MS",NA,NA,NA,NA,NA,"Uuree"
"3690","M0058339-021","W1NLM426-I1N1M426","Tibetan","N","*, ,DPAL LDAN LHA MO'I MAndAL BZHI PA ZHES BYA BA BZHUGS SO, ,","BSOD NAMS RGYA MTSO,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-4A","25x5","28.5x7","MS",NA,NA,NA,NA,"@004A *, ,(CES PA 'DI NI RJE BTZUN THAMS CAD MKHYEN PA BSOD NAMS RGYA MTSO DPAL BZANG PO 'DI 'BRAS BU BYUNG DU CHOS GRVA RTZE THANG DU SBYAR BA'O, ,)","Uuree"
"3691","M0058339-022","W1NLM426-I1N1M426","Tibetan","N","*, ,RJE BTZUN 'PHAGS MA SGROL MA'I MAndAL BZHI PA'I MDOR BSDUS BZHUGS SO, ,","DHARMA BADZRA,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-4B","25x5","28.5x7","MS",NA,NA,NA,NA,"@004B (RJE BTZUN BCOM LDAN LAN GSUM GYI MJUG TU YIG BRGYA LAN GSUM, GANG YANG BDAG BLO, MA RNYED LHAG PA DANG NI PHYAG 'TSAL BA DANG YE SHES PA RNAMS GNAS 'DIR NAS GZUGS DANG LHAN GCIG TU, LAM GANG YANG RUNG BA DANG, DHARMA BADZRA GYIS BRIS PA'O, ,MANGGA LAm, ,)","Uuree"
"3692","M0058340-001","W1NLM427-I1N1M427","Tibetan","N","*, ,RGYAL PO'I GSOL MCHOD DREGS PA'I RE BA SKONG BYED ZHES BYA BA BZHUGS SO, ,","DHARMA SVA MI WA GINTRA PA tU SIDDHI MING CAN,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-14A","20x6.5","22.5x8","XYL",NA,NA,NA,NA,"@014A *, ,(CES PA 'DI NI BLO GROS KYI 'JUG PA MCHOG TU YANGS PA'I DGE SLONG DKON MCHOG TSUL KHRIMS KYIS GRONG CHOG PA RNAMS KYI THUGS BZHED BSKONG BA'I SLAD DU BRIS DGOS SU BSKUL BAR RTEN, SNYIGS DUS KYI MTHA' LA SLEB PAS RGYAL PO'I GNOD PA BDO BA'I DUS 'DIR 'GA' ZHIG LA PHAN PA'ANG SRID DAM SNYAM PAS RGYAL PO'I MDOS GZHUNG SOGS @014B KHUNGS THUB RNAMS KYI DON DANG MI 'GAL BAR BSGRIGS PA PO NI DHARMA SVA MI WA GINTRA PA tU SIDDHI MING CAN NO, ,'DIS KYANG 'GRO BA RNAMS NGA RGYAL DANG ZHE SDANG GIS BSKUL BA'I GNOD KHYED KYI 'CHAR SGO SNA TSOGS LAS THAR PAR GYUR CIG , ,,)","Uuree"
"3693","M0058340-002","W1NLM427-I1N1M427","Tibetan","N","*, ,SHES RAB KYI PHA ROL TU PHYIN PA'I MAN NGAG GI BSTAN BCOS MNGON PAR RTOGS PA'I RGYAN CES BYA BA BZHUGS SO, ,","RJE BTZUN BYAMS PA MGON PO,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-47A","20x6.5","22.5x8","XYL",NA,NA,NA,NA,"@046A *, ,(SHES RAB KYI PHA ROL TU PHYIN PA'I MAN NGAG GI @046B BSTAN BCOS MNGON PAR RTOGS PA'I RGYAN CES BYA BA, RJE BTZUN BYAMS PA MGON POS MDZAD PA RDZOGS SO, ,RGYA GAR GYI PAndI TA GO MI 'CHI MED DANG, LO TZTSA BA DGE SLONG BLO LDAN SHES RAB KYIS BSGYUR CING ZHUS TE LEGS PAR GTAN LA PHAB PA'O, ,'DI LTAR GZHUNG MCHOG BRIS DANG PAR BSGRUBS PA'I, DGE BA 'DIS MTSAN SKYE 'PHAGS JI SNYED DGE ,BSNGO MAS PA'I MTHU LAS PHYOGS RNAMS THAMS CAD DU, LAM BZANG 'DI NYID DAR ZHING RGYAS PHYIR BSNGO, DE YI MTHU LAS @047A *, ,MKHA' MNYAM MAR GYUR GYUR 'GRO, THEG MCHOG 'KHOR LO BZHI LDAN RTEN THOB NAS, LUNG RTOGS DAM PA'I CHOS TSUL KUN BZANG STE, BLA MED RDZOGS PA'I BYANG CHUB MYUR THOB SHOG ,BLA MA MCHOG GSUM BYIN RLABS THUGS RJE DANG, BDAG CAG LHAG BSAM DANG MOS CHOS DBYINGS MTHUS,GCIG TU TSOGS PA'I RTEN 'BREL BDEN STOBS KYIS, DON GNYIS LHUN GYIS 'GRUB PA'I BKRA SHIS SHOG , ,,)","Uuree"
"3694","M0058340-003","W1NLM427-I1N1M427","Tibetan","N","*, ,DGE SLONG GI BSLAB BYA'I SDOM TSIG 'DUL BA'I SNYING PO ZHES BYA BA BZHUGS SO, ,","YE SHES RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-19B","16.5x7","23x9.5","XYL",NA,"BKRA SHIS LHUN PO DPAL GYI SDE CHEN PHYOGS THAMS CAD LAS RNAM PAR RGYAL BA'I GLING,",NA,NA,"@019B  (ZHES DGE SLONG GI BSLAB BYA'I SDOM TSIG MDOR BSDUS SU BKOD PA 'DUL BA'I SNYING PO ZHES BYA BA 'DI NI, DGE SLONG YE SHES DPAL LDAN GYIS KHRIMS NYIS BRGYA LNGA BCU RTZA GSUM GYI NGOS 'DZIN GSAL ZHING GO BDE BA YI GE NYUNG NGUR BYAS PA 'DI LTA BU ZHIG DGOS ZHES YANG DANG YANG DU BSKUL ZHING, NYE CHAR CHOS GRVA CHEN PO BKRA SHIS LHUN PO DPAL GYI SDE CHEN PHYOGS THAMS CAD LAS RNAM PAR RGYAL BA'I GLING DU 'DUL BA'I BSLAB BYA RGYAS PAR BSHAD PA'I TSE DON GNYER CAN MANG POR PHAN DU RE BA'I BSAM PAS 'DUL BA 'DZIN PA DGE SLONG YE SHES RGYAL MTSAN GYIS SBYAR BA'O,, 'DIS KYANG THUB PA'I BSTAN PA RIN PO CHE MI NUB PA'I RGYAL MTSAN DU GYUR CIG , ,,)","Uuree"
"3695","M0058340-004","W1NLM427-I1N1M427","Tibetan","N","*, ,PHUN SUM TSOGS PA BZHUGS S+HO, ,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-8B [*Missing page from 9A *]","20x5","23.5x7.5","XYL",NA,NA,NA,NA,NA,"Uuree"
"3696","M0058340-005","W1NLM427-I1N1M427","Tibetan","N","*, ,RDO RJE THEG PA'I RTZA BA'I LTUNG BA DANG YAN LAG GI RNAM BZHAG BZHUGS SO, ,","MKHAS GRUB RJE,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-5B","21x7","23x9","XYL",NA,NA,NA,NA,"@005A *, ,ZHES GSUNGS PA RNAMS LA LAKshIm KA RAS 'GREL PA LA MDZAD CING, DAM TSIG KUN GYI CHO GA KUN LAS BTUS PA LAS KYANG 'BYUNG, ZHES MKHAS GRUB THAMS CAD MKHYEN PAS, SNGAGS KYI BSLAB BYA BSDUS PAR GSUNGS SO,, ,,(DRI MA MED PA'I TSUL KHRIMS GSUM 'DZIN PAS SA CHEN PO KUN TU GANG BAR GYUR CIG , ,,)","Uuree"
"3697","M0058340-006","W1NLM427-I1N1M427","Tibetan","N","*, ,'PHAGS PA 'DA' KA YE SHES BZHUGS, ,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-2B","20x8","22.5x9","XYL",NA,NA,NA,NA,NA,"Uuree"
"3698","M0058340-007","W1NLM427-I1N1M427","Tibetan","N","*, ,'PHAGS PA SGO DRUG PA ZHES BYA BA'I GZUNGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","3A-7A","20x8","22.5x9","XYL",NA,NA,NA,NA,NA,"Uuree"
"3699","M0058340-008","W1NLM427-I1N1M427","Tibetan","N","*, ,BSANG RNAM DAG MA BZHUGS SO, ,","BSOD NAMS YE SHES DBANG PO,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-21A","23x6","25x8","XYL",NA,NA,NA,"SKU 'BUM BYAMS PA GLING,","@021A *, ,(CES SPRUL SKU BSOD NAMS YE SHES DBANG POS MDZAD PA'I BSANG RNAM DAG MA LA BSANG RDZAS BYIN RLABS GSER SKYEMS GYI 'DON CHA SOGS 'GA' ZHIG SLOB DPON LCANG SKYA RIN PO CHE'I GSUNG LTAR GZHAN NAS BSNAN TE BGYIS PA'O, ,ZHES PA 'DI YANG ^RJE RGYAL BA GNYIS PA'I 'KHRUNGS GNAS SKU 'BUM BYAMS PA GLING
DU DPAR DU BSGRUBS PA'O,, ,,SARBA MANGGA LAm,,)","Uuree"
"3700","M0058340-009","W1NLM427-I1N1M427","Tibetan","N","*, ,CHOS SRUNG SPYI'I GTOR 'BUL 'PHRIN BCOL MNGA' GSOL DANG BCAS PA RDO RJE 'CHANG GUNG THANG RIN PO CHES STZAL BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-4A","20x5","25x8","RGYA NAG PAR,",NA,NA,NA,NA,"@004A *, ,('DI YANG BTZUN PA DKON MCHOG BSTAN PA'I SGRON MES BRIS, ,)","Uuree"
"3701","M0058340-010","W1NLM427-I1N1M427","Tibetan","N","*, ,DPAL LDAN DMAG ZOR GYI RGYAL MO MNYES PAR BYED PA'I GSER SKYEMS BDUD RTZI'I DGA' STON ZHES BYA BA BZHUGS, ,","BLO BZANG DPAL LDAN YE SHES,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-3A","23x6","26x9","XYL",NA,NA,NA,NA,"@003A *, ,(CES SRID GSUM BDAG MO DPAL LDAN DMAG ZOR GYI RGYAL MO MNYES PAR BYED PA'I GSER SKYEMS BDUD RTZI'I DGA' STON ZHES BYA BA 'DI NI, ^RGYAL KUN MKHYEN BRTZE NUS GSUM GCIG TU BSDUS PA'I BDAG NYID 'PHAGS MCHOG PHYAG NA PADMA NGUR SMRIG GAR GYIS RNAM PAR ROL PA ^RGYAL DBANG THAMS CAD MKHYEN CING GZIGS PA CHEN PO ^RJE BTZUN BLO BZANG BSTAN PA'I DBANG PHYUG 'JAM DPAL RGYA MTSO DPAL BZANG POS BKA' STZAL BA SPYI BOR NOS TE, ^SH'AKYA'I DGE SLONG BLO BZANG DPAL LDAN YE SHES KYIS SBYAR NAS PHUL BA'O,,)","Uuree"
"3702","M0058340-011","W1NLM427-I1N1M427","Tibetan","N","*, ,RGYAL PO CHEN PO RNAM THOS SRAS LA MCHOD GTOR 'BUL BA'I RIM PA DNGOS GRUB KYI BANG MDZOD CES BYA BA BZHUGS SO, ,","DGE 'DUN RGYA MTSO,",NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-26A","22x7","26x9","XYL",NA,NA,NA,NA,"@025B CES RGYAL PO CHEN PO RNAM THOS SRAS LA MCHOD GTOR 'BUL BA'I RIM PA LAG TU BLANG BDE BAR BRJOD PA 'DI NI GNAS BRTAN SDOM BRTZON DAM PA BLO GROS RGYA MTSOS BSKUL BA'I NGOR CHOS SMRA BA DGE 'DUN RGYA MTSO'I DPAL GYIS, BU STON THAMS CAD MKHYEN PA'I YIG CHA GZHIR BYAS MED MI RUNG RNAMS KHA BSKANG STE CHOS 'KHOR RGYAL GYI GTZUG LAG KHANG GI BKA' GDAMS @026A *, ,PHO BRANG DU NYE BAR SBYAR BA 'DIS KYANG SKYE 'GRO THAMS CAD DBUL PHONGS KYI SDUG BSNGAL LAS THAR BAR GYUR CIG , ,,BKRA SHIS,, ,,","Uuree"
"3703","M0058340-012","W1NLM427-I1N1M427","Tibetan","N","*, ,LHA CHEN TSANGS PA CHEN PO'I MNGON RTOGS BSKANG BSHAGS BSTOD PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","V:N","1A-12A","21x7","26x9","XYL",NA,NA,NA,NA,NA,"Uuree"
