"","NLM Catalog #","Input file number","Language(s) of the main text","Language(s) of the main text_1","Full Title (native language)","Author's name (transliterated)","Dates of the author","Translator","Dates of the translator","Editor","Dates of the editor","Year of this edition-heze barlasan tuhai","Format of the book","Cover type","Condition of book","Readability of book","Volume","Page numbers","Size of printed area","Size of pages","Location of this copy","Publisher","Copyright owner","Location of printing-","Drawings or illustrations","Colophon-tugsguliin ug","Neree bich"
"1844","M0058136-013","W1NLM223-I1NLM223","Tibetan","N","*, ,GNAS BRTAN BLA MA RIN PO CHE THOL 'BYUNG DU GNANG BA'I TSIGS BCAD GNYIS KYI DON 'GREL BZHUGS SO, ,","DKON MCHOG RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-5A","35x7","47.5x9.5","XYL",NA,NA,NA,NA,"@005A *, ,(ZHES PA 'DI NI YON TAN DU MA'I MDZOD 'DZIN SLOB DPON SHES RAB DON GRUB BZANG POS BSKUL BAR BRTEN, AER TE NI JO BO'I BLA MA ZHES GRAGS PA'I ^DKA' BCU DKON MCHOG RGYAL MTSAN GYIS BRIS PA 'DIS KYANG 'GRO KUN THEG MCHOG DGE BA'I BSHES KYIS RJES SU 'DZIN PAR GYUR CIG ,YI GE PA NI RNAM DPYOD DANG LDAN PA'I DGE SLONG BSOD NAMS RDO RJES BGYIS PA'O,, ,,DGE'O, ,)",NA
"1845","M0058136-014","W1NLM223-I1NLM223","Tibetan","N","*, ,CHOS SKYONG DREGS PA LCAM SRING LA GTOR 'BUL BYA TSUL 'KHYER BDE BSAM DON LHUN GRUB ZHES BYA BA BZHUGS SO, ,","RATNA DHVA DZA,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A-3A","35x7","47.5x9.5","XYL",NA,NA,NA,NA,"@002B (CES PA 'DI NI, CHOS SKYONG KHYAD PAR CAN DE NYID SNGON NAS CHOS DANG RIGS KYI BRGYUD PAS BSTEN ZHING YANG BSGOS BSTAN PA RAB RGYAS GLING GI BSRUNG MAR MNGA' GSOL BAS GTOR 'BUL RGYUN 'DON BYED CHOG PA ZHIG DGOS ZHES BSTAN PA'I SBYIN BDAG CHEN PO, ,THU SA LAG CHE 'ER TI NO YON RIG 'DZIN RDO RJES RAB DKAR LHA RDZAS BCAS BSKUL BA'I NGOR, AER TE NI JO BO'I BLA MING 'CHANG BA, SNGAGS RAMS PA RATNA DHVA DZAS DGON GNAS DGE BSOG GLING DU SBYAR BA'I YI GE PA NI RNAM DPYOD LDAN PA'I DGE SLONG BSOD NAMS RDO RJES BGYIS PA 'DIS KYANG THUB BSTAN RIN PO CHE 'DI NYID MI NUB PA'I RGYAL @003A *, ,MTSAN MI 'GYUR BA'I GA-YUNG DRUNG MI SHIG PA'I RDO RJER GYUR CIG , ,,)",NA
"1846","M0058136-015","W1NLM223-I1NLM223","Tibetan","N","*, ,THUB DBANG DGE 'DUN 'PHEL GYI BSTOD PA THUB BSTAN MDZES RGYAN ZHES BYA BA BZHUGS SO, ,","RATNA DHVA DZA,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A-4B [*MISSING PAGE FROM 5A*]","35x7","48x9.5","XYL",NA,NA,NA,NA,"@004B (CES THUB DBANG DGE 'DUN 'PHEL GYI BSTOD PA THUB BSTAN MDZES RGYAN ZHES BYA BA 'DI NI, DAD BRTZON RNAM DPYOD YANGS PA'I DAG BLO BZANG PAS YANG YANG BSKUL BA'I NGOR, RIN CHEN JO BO'I BLA MING 'CHANG BA DKA' BCU ^RATNA DHVA DZAS BYANG PHYOGS STAN PA'I MDZES RGYAN DGON GNAS DGE BSOG GLING DU SBYAR BA'I YI GE PA NI DGE SLONG BSOD NAMS RDO RJES ...)",NA
"1847","M0058136-016","W1NLM223-I1NLM223","Tibetan","N","*, ,AER TE NE JO BO'I KHRI CHEN RDO RJE 'CHANG MCHOG SPRUL RIN PO CHE DKON MCHOG RGYAL MTSAN DPAL BZANG PO'I THUN MONG PA'I RNAM THAR GSOL 'DEBS MDOR BSDUS DAD PA'I SGO 'BYED CES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-5B","37.5x6.5","48x9.5","XYL",NA,NA,NA,NA,NA,NA
"1848","M0058136-017","W1NLM223-I1NLM223","Tibetan","N","*, ,MA GCIG 'DOD KHAMS DBANG PHYUG DPAL LDAN LHA MO'I GTOR CHOG 'PHRIN LAS RNAM BZHI LHUN GRUB CES BYA BA BZHUGS SO, ,","SU MA TI DZNY'A SHR'I LA LAKshIm,",NA,NA,NA,NA,NA,"SHING PHO 'BRUG LO,",NA,"N/A","GOOD","MEDIUM","V:N","1A-21A","35x7","47.5x9.5","XYL",NA,NA,NA,NA,"@020B (CES MA GCIG 'DOD KHAMS DBANG PHYUG DPAL LDAN LHA MO'I GTOR CHOG 'PHRIN LAS RNAM BZHI LHUN GRUB CES BYA BA 'DI NI, AER TE NI JO BO'I DGON PA 'DI NYID KYI BSTAN PA'I BYA BA THAMS CAD DANG, KHYAD PAR DGE 'DUN SDE RNAMS KYI 'GAL RKYEN THAMS CAD SEL ZHING MTHUN RKYEN THAMS CAD BSGRUB PA'I THABS GANG LA 'BAD NA LEGS BRTAGS PAR CHOS SKYONG BSRUNG MA 'DI NYID LA GTOR CHOG 'DI LTA BU ZHIG DGOS SNYAM @021A *, ,PA'I NYAMS BLO BUR BYUNG ZHING RGYUN 'DON BYED RGYUR, YIG CHA MANG PO LA LTOS MI DGOS PA'I TSIG CHOG NAG 'GROS SU BKOD PA ZHIG BYUNG NA LEGS 'DUG SNYAM PA'I PHAN PA'I BSAM PAS 'BRI 'DUN YOD THOG ,AER TE NI JO BO'I 'GON PA 'DI NYID KYI TSOGS CHEN PO BSKOS DGE SLONG BLO BZANG DON YOD DUR TSA SPI LIG THUS MAndAL KHA BDAGS DANG BCAS PAS BSKUL BA LA BRTEN NAS, CHOG DNGOS GZHI BSTAN PA'I GSAL BYED LCNG LUNG PAntI TA RJE BTZUN NGAG DBANG BLO BZANG BSTAN PA'I RGYAL MTSAN DPAL BZANG POS DPAL LDAN DMAG ZOR RGYAL MO'I GTOR CHOG RANG CAG LA YONGS GRAGS PAR 'BREL NAS LAS BZHI LHA MO'I MNGON RTOGS SPYAN 'DREN DANG, MTSAN SNGAGS BSTOD PA 'PHRIN BCOL RNAMS ZHIB TU BKOD PA DE NYID GZHIR BZUNG LA, TSAD LDAN DAM PA RNAMS KYIS MDZAD PA'I DPAL LDAN LHA MO'I GTOR CHOG GI YIG CHA DANG SGO BSTUN NAS DGON GNAS 'DI'I SGOS KYI DBANG GIS TSIG BSGYUR DANG CUNG ZAD BSNON DBRI RANG BLO'I CHOD KYIS BYAS STE, GONG GI SHE RE KE THU MER GEN MKHAN PO PAntI TA GU SHR'I NOM CHI CHOS RJE'I MING 'DZIN LHA'I BTZUN PA SU MA TI DZNY'A NA SHR'I LA LAKshIm MING CAN GYIS, LHUN GRUB BDE CHEN RIN CHEN JO BO'I GLING DU KHRO MO ZHES PA SHING PHO 'BRUG LO'I NAG PA ZLA BA'I YAR NGO'I MKHA' 'GRO 'DU BA'I DUS BZANG TSES BCUR BRIS PA'I YI GE 'DU LAS SMON GYIS 'BREL BA TSOGS CHEN DGE SKOS CHEN MO SU MA TI BADZRA PA nIS BGYIS PA 'DIS KYANG DGE 'DUN RNAMS KYIS 'DOD DON BGEGS MED DU BSGRUB PA'I RGYUR GYUR CIG ,YANG GTOR CHOG 'DIR DGOS PA'I DBANG GIS, AER TE NI JO BO'I BLA MA'I SPRUL SKU GSUM PA'I MING 'CHANG BA ^DKA' BCU SNGAGS RAMS PA DKON MCHOG RGYAL MTSAN GYIS TSIGS BCAD 'GA' ZHIG BSNON PA BTAB PA'O,, ,,)",NA
"1849","M0058136-018","W1NLM223-I1NLM223","Tibetan","N","*, ,GANG BA BZANG PO LA MCHOD GTOR 'BUL TSUL 'DOD DGU MCHOG STZOL ZHES BYA BA BZHUGS SO, ,","RATNA DHVA DZA,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A-3B","35x7","48x9.5","XYL",NA,NA,NA,NA,"@003B (CES LHA CHEN GANG BA BZANG PO'I BUM SGRUB NOR GYI GTER MDZOD ZHES BYA BA 'DI YANG, DKA' BCU DGE SLONG GDUGS DKAR SKYABS KYIS YANG YANG BSKUL BA'I NGOR, KHU RE CHEN MO'I MING BTAGS GNYIS LDAN RATNA DHVA DZA ZHES BYA BAS RANG BYUNG BCO LNGA'I SHING STAG LO'I HOR ZLA DANG PO'I YAR NGO'I TSES BCUR DGE MCHOG GLING DU SBYAR BA'I YI GE PA NI DKA' BCU BSOD NAMS RDO RJES BGYIS PA'O, ,'DIS KYANG BSTAN 'GRO YONGS LA RGYA CHEN PHAN THOGS PAR GYUR CIG , ,,)",NA
"1850","M0058136-019","W1NLM223-I1NLM223","Tibetan","N","*, ,LHA CHEN CHOS KYI RGYAL PO GSANG SGRUB YID BZHIN NOR BU'I GTOR CHOG 'DOD DGU'I MCHOG STZOL ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","POOR","V:N","1A-8B [*MISSING PAGE FROM 9A*]","35x7.5","48x9.5","XYL",NA,NA,NA,NA,NA,NA
"1851","M0058139-001","W1NLM226-I1NLM226","Tibetan","N","*, ,'DUL BA MDO RZA BA'I ZIN BRIS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","POOR","V:N","1A-114A","47x6.5","53x9","XYL",NA,NA,NA,NA,NA,NA
"1852","M0058141-001","W1NLM228-I1NLM228","Tibetan","N","*, ,DGONGS BSKYOD MA BZHUGS SO, ,","JAM DBYANGS MGON PO,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-5A","40.5x5.5","53x8","XYL",NA,NA,NA,NA,"@005A *, ,('JAM DBYANGS MGON POS MDZAD PA'O, ,'DI'I LUNG BRGYUD NI GE RE BLA MA NGAG DBANG PHUN TSOGS, BLA MA BLO BZANG RAB RGYAS, DES BDAG BSOD GRAGS PA LA'O,, ,,)",NA
"1853","M0058141-002","W1NLM228-I1NLM228","Tibetan","N","*, ,MA CIG KHROS MNAG MO'I SGRUB THABS MNGON DKYIL SHIN TU GSAL BA GO SLA'I TSUL DU BKOD PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-24A","41x6","53.5x8.5","XYL",NA,NA,NA,NA,"@024A *, ,('DI'I LUNG BRGYUD NI MDZAD PA PO NGAG DBAN PHUN TSOGS, DES DGE SLONG BLO BZANG RAB RGYAS, DES BDAG BSOD NAMS GRAGS PA LA'O,, ,,)",NA
"1854","M0058141-003","W1NLM228-I1NLM228","Tibetan","N","*, ,MKHA' 'GRO'I BZHENGS BSKUL DANG 'BUM BSKUL BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-3A","40.5x6.5","53x8.5","XYL",NA,NA,NA,NA,NA,NA
"1855","M0058141-004","W1NLM228-I1NLM228","Tibetan","N","*, ,BLA MA MCHOD PA'I BSDUS DON ZAB DON GDAMS PA'I MIG 'BYED CES BYA BA BZHUGS SO, ,","SHES RAB RGYA MTSO,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-16B","47x6.5","50.5x8.5","XYL",NA,NA,NA,NA,"@016A *, ,(ZER BA LTAR LEGS PAR BSHAD PA'I TSIG 'BRU RE'AM CHA SHAS RES KYANG GTAN GYI BDE DGA' ZAD MI SHES PA'I DPAL SBYIN PAS NA GZHAN PHAN @016B GYI BSAM PA ZHAN KYANG RANG BLO CHOS LA GOMS PA'I SLAD DU SRAS BCAS RGYAL BA KUN LAS LHAG PA'I BKA' DRIN CAN GYI DPAL LDAN BLA MA DAM PA RNAMS KYI GSUNG RGYUN BZHIN, BTZUN GZUGS SHES RAB RGYA MTSOS RANG GI SKYE YUL RTZE GZHUNG SA YI THIG LER SKYO SANG DU PHYIN PA'I TSE GSUG BRIS SU BGYIS PA TSE RABS THAMS CAD DU THEG PA MCHOG GI DGE BA'I BSHES GNYEN GYIS DGYES BZHIN RJES SU BZUNG STE ZAB RGYAS GSUNG GI BDUD RTZIS 'TSO BA'I RGYU GRUNG POR GYUR CIG GU, ,AOm SVA STI, CHOS SRID 'BYOR BA'I MDZOD DANG DGE BCU LDAN, ,DGA' LDAN RAB RGYAS ZHES BYA'I RGYUD GRVA CHER, ,KUN MKHYEN 'JAM DBYANGS BZHAD PA YAB SRAS KYI, ,THUGS RJES CHOS SBYIN 'DZAD MED RGYUN 'DI SPEL,, ,,MANGGA LAm,, ,,)",NA
"1856","M0058141-005","W1NLM228-I1NLM228","Tibetan","N","*, ,MA CIG KHROS MA LHA LNGA'I ZHI BA'I SBYIN SREG LAG LEN RAB GSAL ZHES BYA BA BZHUGS SO, ,","SHES RAB RGYA MTSO,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-9A","45.5x6.5","53.5x8","XYL",NA,NA,NA,NA,"@009A *, ,(CES MA CIG KHROS MA LHA LNGA'I ZHI BA'I SBYIN SREG LAG LEN RAB GSAL ZHES BYA BA 'DI YANG BYANG PHYOGS CHEN PO HOR GYI YUL GRU NAS LUNG RIGS SMRA BA'I DBANG PHYUG RDO RAMS PA BKRA SHIS 'BYOR LDAN GYIS YANG YANG NAN TAN DU BSKUL NGOR, ^BTZUN GZUGS SHES RAB RGYA MTSOS BRIS PA'O, ,)",NA
"1857","M0058141-006","W1NLM228-I1NLM228","Tibetan","N","*, ,MA CIG MKHA' 'GRO SNYAN RGYUD KYI LAM ZAB RGYUN GYI RNAL 'BYOR SHIN TU 'KHYER BDE BAR BKOD PA BZHUGS SO, ,","BYAMS PA LHA DBANG RIG 'DZIN,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-13A","41x6","52.5x8","XYL",NA,NA,NA,NA,"@012A *, ,(CES MA CIG MKHA' 'GRO SNYAN BRGYUD KYI LAM ZAB RGYUN GYI RNAL 'BYOR SHIN TU 'KHYER BDER BKOD PA 'DI NI YONGS 'DZIN DAM PA BYAMS PA 'PHRIN LAS DAR RGYAS KYI ZHAB RDUL SPYI BOR LEN PA SH'AKYA'I DGE SLONG CHOS MED SNYOMS LAS CAN BYAMS PA LHA DBANG RIG 'DZIN GYIS RANG NYID KHA 'DON BYA BA'I CHED DU SHIN TU MYUR BAR SBYAR BA'O, ,)",NA
"1858","M0058141-007","W1NLM228-I1NLM228","Tibetan","N","*, ,ZHI BA LAM ZAB KYI KHA SKONG ZUR 'DEBS BZHUGS SO, ,","BYAMS PA LHA DBANG RIG 'DZIN,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-6A","40.5x6.5","52.5x8","XYL",NA,NA,NA,NA,"@006A *, ,('DI DAG BYAMS PA LHA DBANG RIG 'DZIN GYIS MDZAD PA'I LAM ZAB DNGOS LA MED KYANG BLA MA GONG MAS CI LTAR GNANG BA'I GSUNG SGROS LTAR BKOD PA YIN LA, DA LHA'I DPE BRIS MA PHAL CHER DU GZHUNG GI DKYUS LA NGAG SGROS DGAM DAG SNA TSOGS BCUG PAS LAM ZAB DNGOS KYI DPE RGYUN KHUNGS DAG DKON PAR MTHONG NAS GZHUNG DNGOS DANG ZUR 'DEBS DMIGS PHYED PAR BYAS TE SO SOR BKOD PA'O,, ,,)",NA
"1859","M0058141-008","W1NLM228-I1NLM228","Tibetan","N","*, ,MKHA' 'GRO SNYAN BRGYUD KYI GNYAN KHROD LA 'GRO BA'I YIG CHUNG BZHUGS SO, ,","BYAMS PA LHA DBANG RIG 'DZIN,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-8B","40.5x6","53x8.5","XYL",NA,NA,NA,NA,"@008B (ZHES MKHA' 'GRO SNYAN BRGYUD KYI GNYAN KHROD LA 'GRO BA'I ZHAL SHES YIG CHUNG 'DI YANG MKHAS GRUB BYAMS PA KARMA DAR RGYAS KYI GSUNG LAS JI LTAR BYUNG BA BZHIN GANG ZAG BLO RMONGS SHING SHES RAB CHUNG BA RANG DANG SKAL BA MNYAM PA RNAMS KYI DON DU CHOS MED DGE SLONG BYAMS PA LHA DBANG RIG 'DZIN GYIS BKOD PA'O, ,BLO DANG LDAN PA RNAMS NI SNYAN BRGYUD ZHAL GDAMS CHEN MO MA RIG MUN SEL SOGS RGYAS PA RNAMS LA GZIGS PAR ZHU, SLAR YANG GSAL BYED KYI LHAN THABS CUNG ZAD NGAG PHUN GYIS SBYAR BA'O, ,'DI'I LUNG GI RGYUD NI MDZAD PA PO, DES GE RE ZHABS DRUNG SKAL BZANG TSOGS GNYIS, DES BDAG BSOD GRAGS PA LA'O,, ,,)",NA
"1860","M0058141-009","W1NLM228-I1NLM228","Tibetan","N","*, ,GCOD KYI GDAMS PA GDAN THOG GCIG TU DRIL NAS NYAMS SU LEN TSUL BZHUGS SO, ,","JAM DBYANGS BZHAD PA'I RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-4B","41x6","53x8.5","XYL",NA,NA,NA,NA,"@004B (ZHES PA 'DI NI SH'AKYA'I DGE SLONG ^'JAM DBYANGS BZHAD PA'I RDO RJES BKRA SHIS 'KHYIL NAS SBYAR BA'O,, ,,SHU BHAm, ,)",NA
"1861","M0058141-010","W1NLM228-I1NLM228","Tibetan","N","*, ,YUM CHEN MO'I MNGON RTOGS THAR LAM GSAL BA'I SGRON ME ZHES BYA BA BZHUGS SO, ,","GRAGS PA RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-5A","48.5x6.5","52.5x8","XYL",NA,NA,NA,NA,"@005A *, ,(ZHES PA 'DI NI LUNG RTOGS YON TAN LA DBANG 'BYOR BA'I KA MDO DANG SNGON PO THANGA GI KHRI ZUR BA BLA MA GRAGS PA RGYAL MTSAN GYIS BSKUL NGOR, ^,RGYAL MKHAN PO GRAGS PA RGYAL MTSAN GYIS SBYAR BA'I YI GE PA NI DGE TSUL BLO BZANG DAR RGYAS SO,, ,,)",NA
"1862","M0058141-011","W1NLM228-I1NLM228","Tibetan","N","*, ,ZAB LAM GCOD KYI RGYUN 'KHYER MKHA' 'GRO'I ZHAL LUNG ZHES BYA BA BZHUGS SO, ,","GRAGS PA RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-6B","47.5x7","51x8","XYL",NA,NA,NA,NA,"@006B (CES PA 'DI NI RANG GI GAM DU 'KHOD PA GANG CI'I LAS DON LA 'BAD PA LHUR LEN PA MDZOD PA 'JAM DBYANGS BRZON 'GRUS KYIS NAN TAN CHEN PAS BSKUL NGOR, ^RGYAL MKHAN PO GRAGS PA RGYAL MTSAN GYIS PHYOGS THAMS CAD LAS RNAM PAR RGYAL BA'I CHOS GRVA CHEN PO DPAL LDAN BKRA SHIS 'KHYIL GYI GZIM CHUNG YID DGA' CHOS 'PHEL DU SBYAR BA'I YI GE PA NI DGE TSUL BLO BZANG DAR RGYAS KYIS BRIS PAS ZAB LAM GCOD KYI GDAMS PA PHYOGS @006B THAMS CAD DU DAR ZHING RGYAS PA'I RGYUR GYUR CIG ,SARBA MANGGA LAm,, ,,)",NA
"1863","M0058141-012","W1NLM228-I1NLM228","Tibetan","N","*, ,LAM ZAB RGYUN GYI RNAL 'BYOR GYI 'DON CHA'I ZUR 'DEBS BDUD GCOD RAL GRI ZHES BYA BA BZHUGS SO, ,","BLO BZANG THUB BSTAN 'JIGS MED RGYA MTSO,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-18B","46x6","52.5x8.5","XYL",NA,NA,NA,NA,"@018B (GCOD KYI 'DON CHA 'DI YANG DON GNYER CAN MANG PO'I 'DOD MOS LTAR ^KUN MKHYEN MCHOG GI SPRUL BA'I SKU RIN PO CHE BLO BZANG THUB BSTAN 'JIGS MED RGYA MTSO DBUS NAS MDO SMAD DU 'BYON PA'I PHEBS BSUR PHYIN PA'I LAM BAR GYI GNAS NGES MED NGAG TU THOR BU YID LA GANG DRAN GYI TSUL DU BRIS SHING, BDE MO THANG DGA' LDAN CHOS 'KHOR GLING DU MJUG GRUB PAR BGYIS PA'O, ,)",NA
"1864","M0058141-013","W1NLM228-I1NLM228","Tibetan","N","*, ,GCOD KYI ZIN BRIS NYUNG DU BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-4A","47.5x6.5","52.5x8.5","XYL",NA,NA,"DGA' LDAN CHOS 'KHOR GLING,",NA,"@004A *, ,('DI YANG KUN MKHYEN 'JAM DBYANGS BZHAD PA'I SDE'I, ,THUGS RJE LA BRTEN BKRA SHIS 'KHYIL GLING GI, ,LHO RGYUD MDO SNGAGS CHOS SGRA SGROGS PA'I TSAL, ,DGA' LDAN CHOS 'KHOR GLING DU LEGS PAR GRUB,, ,,MANGGA LAm,, ,,)",NA
"1865","M0058141-014","W1NLM228-I1NLM228","Tibetan","N","*, ,MA CIG KHROS MA'I SGRUB THABS LAS BRTZAMS PA'I DRIS LAN BZHUGS SO, ,","RATNA DHVA DZA,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-5A","47x6","53x8.5","XYL",NA,NA,"DGA' LDAN CHOS 'KHOR GLING,",NA,"@005A *, ,(ZHES MA CIG KHROS MA'I SGRUB THABS LAS BRTZAM PA'I DRIS LAN 'DI NI RANG GI SLOB BU RGYA TSANG NGAG DBANG LHUN 'GRUB KYIS BSKUL BA LTAR, ^RATNA DHVA DZAS BRIS PA'I DGE BAS 'GRO KUN THABS SHES KYI LAM BZANG MTHAR PHYIN NAS SKU BZHI'I GO 'PHANG MYUR DU THOB PAR GYUR CIG , ,,DGA' LDAN CHOS 'KHOR NAS PAR DU BSGRUBS,, ,,)",NA
"1866","M0058141-015","W1NLM228-I1NLM228","Tibetan","N","*, ,DPAL LDAN DMAG ZOR GYI RGYAL MO'I BSNYEN PA JI LTAR BYA BA'I TSUL GSAL BAR BKOD PA DGE LEGS GSER GYI SNYE MA ZHES BYA BA BZHUGS SO, ,","SHES RAB RGYA MTSO,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-10A","47.5x6.5","52.5x8.5","XYL",NA,NA,"DGA' LDAN RAB RGYAS GLING,",NA,"@010A *, ,(CES DPAL LDAN DMAG ZOR GYI RGYAL MO'I BSNYEN PA JI LTAR BYA BA'I TSUL GSAL BAR BKOD PA DGE LEGS GSER GYI SNYE MA ZHES BYA BA 'DI YANG DAD BRTZON RNAM DPYOD PHUN SUM TSOGS PA DGE SLONG DKON MCHOG CHOS BZANG GIS BSKUL NGOR, DUS GSUM RGYAL BA KUN 'DUS KYI NGO BO KUN MKHYEN BLA MA 'JAM DBYANGS BZHAD PA'I RDO RJE BLO BZANG THUB BSTAN 'JIGS MED RGYA MTSO'I SDE YAB SRAS NYI ZLA LTA BU RNAMS KYIS ZHABS RDUL GTZUG GI RGYAN DU THOB PA'I BTZUN GZUGS SHES RAB RGYA MTSOS CHOS SDE CHEN PO DPAL LDAN BKRA SHIS 'KHYIL GYI RANG GSHAG TU SUG BRIS BGYIS PA'O, ,'DI YANG DGON GSAR DGA' LDAN RAB RGYAS GLING NAS PAR DU BKOD,, ,,MANGGA LAm,, ,,)",NA
"1867","M0058142-001","W1NLM229-I1NLM229","Tibetan","N","*, ,RGYAL SRAS RIN PO CHE'I ZHAL SNGA NAS STZAL BA'I MDO SDE RGYAN 'GREL BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","MEDIUM","V:N","1A- 219A","53.5x7.5","60.5x10.5","XYL",NA,NA,NA,NA,"@219A *, ,(THEG PA CHEN PO MDO SDE'I RGYAN GYI 'GREL BA RIN PO CHE'I PHRENG BA ZHES BYA BA, CHOS SMRA BA THOGS MED KYIS DPAL AE'I GTZUG LAG KHANG DU SBYAR BA RDZOGS SO, ,)",NA
"1868","M0058143-001","W1NLM230-I1NLM230","Tibetan","N","*, ,RTAGS RIGS KYI RNAM BZHAG NYUNG GSAL LEGS BSHAD GSER GYI PHRENG MDZES ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-63A","48x6","52x9","XYL",NA,NA,NA,NA,NA,NA
"1869","M0058143-002","W1NLM230-I1NLM230","Tibetan","N","*, ,KUN MKHYEN 'JAM DBYANGS BZHAD PA'I RDO RJES MDZAD PA'I BLO RIG GI RNAM BZHAG NYUNG GSAL LEGS BSHAD GSER GYI 'PHRENG MDZES KYI MCHAN 'GREL GSER GYI LDE MIG CES BYA BA BZHUGS SO, ,","JAM DBYANGS BZHAD PA'I RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"N/A","GOOD","GOOD","V:N","1A-19A","47.5x6.5","52.5x8.5","XYL",NA,NA,"DGA' LDAN CHOS 'KHOR GLING,",NA,"@019A *, ,(ZHES KUN MKHYEN CHEN PO 'JAM DBYANGS BZHAD PA'I RDO RJES MDZAD PA'I BLO RIG GI RNAM BZHAG LEGS BSHAD GSER GYI 'PHRENG MDZES KYI NANG DU DRANGS PA'I TSAD MA MDO DANG RNAM 'GREL SOGS KYI LUNG PHAL CHER GYI DON ZHIB TU BKRAL TE DKA' GNAD KYI SKOR 'GA' ZHIG LA DOGS GCOD DANG BCAS TE SMRA BA 'DI YI BYED PA PO NI, DUS GSUM RGYAL BA'I SPYI GZUGS, ^MCHOG GI SPRUL BA'I SKU BLO BZANG THUB BSTAN 'JIGS MED RGYA MTSO'I ZHABS RDUL SPYI BOR LEN PA RIGS PA SMRA BA YONGS KYI THA SHAL BTZUN PA'I GZUGS BRNYAN, RATNA DHARMA WA TI'I MING CAN BDAG LAGS SO,, ,,'DI YANG KUN MKHYEN 'JAM DBYANGS BZHAD PA'I SDE'I, ,THUGS RJES LA BRTEN BKRA SHIS 'KHYIL GLING GI, ,LHO RGYUD MDO SNGAGS CHOS SGRA SGROGS PA'I TSAL, ,DGA' LDAN CHOS 'KHOR GLING NAS PAR DU GRUB,, ,,)",NA
